Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,207,306,364,96,154,274,284,180,302,71,366,38
2,225,28,184,129,261,363,61,326,70,76,190,99
3,246,250,170,262,177,54,103,176,321,144,300,40
4,264,92,283,158,137,187,142,272,32,66,166,1
5,265,233,172,294,41,78,286,63,147,339,211,252
6,242,148,327,297,50,218,185,155,110,6,186,356
7,292,304,149,58,106,288,354,355,42,80,17,141
8,287,208,229,35,216,84,320,157,43,317,260,65
9,338,130,77,289,311,140,22,153,199,254,237,27
10,231,276,360,194,220,226,234,25,46,312,227,362
11,90,351,332,324,107,202,223,34,329,201,244,56
12,228,340,258,165,52,273,169,269,308,257,259,249
13,183,118,173,271,105,47,278,365,94,236,247,204
14,285,64,203,248,267,113,307,309,253,36,316,275
15,325,214,319,222,162,8,88,20,303,75,318,3
16,74,353,347,23,205,68,291,358,243,159,120,128
17,9,198,117,251,270,193,182,295,178,188,298,293
18,51,189,168,139,85,102,131,11,104,134,175,73
19,195,210,53,49,55,44,100,150,255,163,333,19
20,310,86,200,39,119,30,95,115,313,331,125,221
21,206,15,280,342,12,296,67,33,16,282,330,341
22,108,13,345,126,164,59,132,82,145,263,93,156
23,349,116,89,179,197,336,151,143,323,152,181,171
24,337,359,133,21,60,328,4,256,277,212,62,245
25,2,335,219,238,24,213,121,192,224,138,97,135
26,114,136,122,45,26,346,350,348,344,69,209,361
27,72,217,232,124,241,7,235,352,314,98,240,290
28,357,83,215,281,91,57,127,37,5,10,31,174
29,266,305,343,109,81,196,146,279,48,79,230,101
30,268,----,191,29,301,123,112,334,299,87,14,167
31,239,----,161,----,18,----,315,111,----,160,----,322
